"temperature","country","trait","sample_size","parameter","species","unit","sourcepaper","remarks","included"
"15",,"0.676",,"hatching_success","B.tropicus","","Prinsloo_and_van_Eeden_1969","",""
"23.5",,"0.9",,"hatching_success","B.truncatus","","Tolba_and_Awad_1995","22-25",""
"23.5",,"0.6",,"hatching_success","B.truncatus","","Tolba_and_Awad_1995","22-25","no"
"23.5",,"0.4",,"hatching_success","B.truncatus","","Tolba_and_Awad_1995","22-25","no"
"23.5",,"0.78",,"hatching_success","B.truncatus","","Tolba_and_Awad_1995","22-25","no"
"26",,"0.74",,"hatching_success","B.truncatus","","Diakite_2023_n","",""
"26",,"0.73",,"hatching_success","B.truncatus","","Diakite_2023_s","",""
"29",,"6",,"hatching_time","B.truncatus","days","Klummpp_et_al.,_1985","",""
"32",,"5",,"hatching_time","B.truncatus","days","McCullough_1962","",""
"22",,"11",,"hatching_time","B.truncatus","days","McCullough_1962","",""
"22.5",,"8",,"hatching_time","B.truncatus","days","Najarian_1961","20-25",""
"17.75",,"18",,"hatching_time","B.truncatus","days","Najarian_1961","15,5-20 degrees, 17-19 days",""
"17.75",,"14.5",,"hatching_time","B.truncatus","days","Najarian_1961","15,5-20 degrees, 13-16days",""
"23.5",,"13.5",,"hatching_time","B.truncatus","days","Watson_1985","22-25 degrees, 12_to_15 days",""
